opposingTeam,home_or_away,icetime,gameScore,I_F_primaryAssists,I_F_secondaryAssists,log10_I_F_shotAttempts,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,I_F_penalityMinutes,log10_I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,I_F_dZoneGiveaways,penalityMinutesDrawn,penaltiesDrawn
CGY,AWAY,2.2121876044039577,2.89,0.0,0.0,0.6020599913279624,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
VAN,AWAY,1.568201724066995,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAN,AWAY,2.99519629159718,0.495,1.0,0.0,0.3010299956639812,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6020599913279624,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
VAN,AWAY,2.941014243705569,0.495,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6020599913279624,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
VAN,AWAY,0.7781512503836436,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAN,AWAY,1.880813592280792,0.495,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DET,HOME,2.0569048513364727,1.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DET,HOME,2.971739590887778,1.355,0.0,0.0,0.4771212547196624,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6989700043360189,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0
DET,HOME,2.845098040014257,1.355,0.0,0.0,0.4771212547196624,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6020599913279624,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0
DET,HOME,1.6232492903979006,1.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DET,HOME,1.9242792860618816,1.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH,HOME,1.6901960800285136,1.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH,HOME,3.021602716028242,1.405,0.0,1.0,0.4771212547196624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.8450980400142568,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,2.0
WSH,HOME,2.8228216453031045,1.405,0.0,1.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.7781512503836436,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
WSH,HOME,1.255272505103306,1.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
WSH,HOME,2.507855871695831,1.405,0.0,0.0,0.3010299956639812,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
L.A,HOME,1.792391689498254,1.095,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L.A,HOME,3.0549958615291417,1.095,1.0,0.0,0.6020599913279624,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.6989700043360189,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
L.A,HOME,2.9390197764486663,1.095,1.0,0.0,0.4771212547196624,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.6989700043360189,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
L.A,HOME,1.9493900066449128,1.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.A,HOME,2.071882007306125,1.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,AWAY,1.934498451243568,0.825,0.0,1.0,0.4771212547196624,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MIN,AWAY,3.127104798364808,0.825,0.0,1.0,0.7781512503836436,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.9030899869919436,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
MIN,AWAY,3.0622058088197126,0.825,0.0,0.0,0.4771212547196624,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.9030899869919436,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
MIN,AWAY,1.57978359661681,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,AWAY,1.812913356642856,0.825,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTL,HOME,1.7993405494535817,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTL,HOME,3.0863598306747484,2.04,1.0,1.0,0.6020599913279624,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.6989700043360189,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0
MTL,HOME,2.970346876230093,2.04,1.0,1.0,0.4771212547196624,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
MTL,HOME,1.7075701760979365,2.04,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MTL,HOME,2.2430380486862944,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGY,HOME,1.6812412373755872,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGY,HOME,3.0867156639448825,-0.54,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
CGY,HOME,2.943988875073772,-0.54,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
CGY,HOME,1.944482672150169,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGY,HOME,2.320146286111054,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHI,HOME,1.462397997898956,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHI,HOME,2.8382192219076257,0.08,0.0,0.0,0.4771212547196624,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.6989700043360189,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PHI,HOME,2.6434526764861874,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHI,HOME,1.963787827345556,0.08,0.0,0.0,0.4771212547196624,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PHI,HOME,2.1172712956557644,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
