requests,request-interval,request-popularity,bytes,delivery-time,hit-rate,nodes,contents,label
2,5066.406,1.0,0.0,3.5,1.0,2,1,0
23011,3.359023884,0.336402735,0.42309007299999996,134.93603869999998,0.029590837000000002,11,22884,1
62,1.9929677419999998,1.0,59.29088962,50.64516129,1.0,2,61,0
539,92.55915584,0.790352505,411.06739910000005,600.1150278,0.734693878,2,314,0
17,1267.784294,1.0,15.70616958,13.11764706,0.8235294120000001,3,9,0
1,0.0,1.0,0.0,7.0,1.0,1,1,0
110,120.6461727,1.0,29.44386541,96.75454545,0.9909090909999999,2,110,0
2,14.293,0.75,4450.770996,9914.0,1.0,1,2,0
9,0.18833333300000002,1.0,29.667209200000002,24.33333333,0.8888888890000001,1,9,0
8,184.295875,1.0,32.36791992,90.5,1.0,2,7,0
75,279.5558133,1.0,35.45584635,111.56,0.973333333,2,63,0
20040,3.7862489339999996,0.49321191799999997,10.35234498,112.3538842,0.174787642,13,12750,1
7374,10.22593941,0.717383942,8.453393572000001,76.51248559999999,0.124643245,13,6676,1
1,0.0,1.0,270.19726560000004,83.0,1.0,1,1,0
61,580.5158033,0.975409836,0.001552894,40.19672131,0.278688525,2,60,0
1,0.0,1.0,0.0,2.0,1.0,1,1,0
1,0.0,0.5,22.24707031,49.0,0.0,1,1,0
50,0.06988,1.0,24.31353516,115.86,0.98,1,50,0
71,95.91329577,1.0,2919.894449,1012.0140849999999,0.9859154929999999,5,71,0
163,102.30140490000001,1.0,34.06998898,96.39263804,1.0,3,110,0
2,18063.798,1.0,0.0,2.5,1.0,2,1,0
22,399.941,1.0,97.2006392,6936.363636,1.0,4,21,0
209,109.5175024,1.0,18.19495271,31.44976077,1.0,5,133,0
34,367.2079412,1.0,61.54176241,231.47058819999998,0.9411764709999999,3,27,0
15,769.1177332999999,1.0,59.88619792,66.13333333,0.8666666670000001,2,15,0
1,0.0,1.0,0.0,3.0,1.0,1,1,0
9,6.315,1.0,38.89257813,7.777777778,1.0,1,9,0
4,0.0165,1.0,4.977294922,14.5,1.0,1,4,0
1,0.0,1.0,0.0,4.0,1.0,1,1,0
1,0.0,1.0,0.0,3.0,1.0,1,1,0
1,0.0,1.0,21.46875,3.0,1.0,1,1,0
1,0.0,1.0,0.0,4.0,1.0,1,1,0
9,0.11788888900000001,1.0,29.667209200000002,8.222222222000001,0.8888888890000001,1,9,0
5,0.1952,1.0,46.5046875,68.6,1.0,1,5,0
19,3409.6168420000004,0.5,1591.8396380000001,1017.736842,0.736842105,3,15,0
8,0.3285,1.0,32.85754395,19.375,1.0,1,8,0
7,30.95428571,1.0,37.76436942,255.4285714,0.857142857,2,7,0
6919,10.87615793,0.731280629,0.024422278,75.92396168,0.037015167,11,2888,1
120,86.21258333,0.9916666670000001,469.91707360000004,764.825,0.975,5,116,0
4,2358.235,1.0,0.0,11.75,1.0,4,1,0
21,12.66761905,1.0,210.08365890000002,97.42857143,1.0,3,15,0
15,6.986266667000001,0.966666667,937.9139974,290.9333333,0.0,1,15,0
10,2732.2265,1.0,26.28603516,41.4,1.0,3,9,0
1,0.0,1.0,9.356445313,41.0,0.0,1,1,0
5,0.0364,1.0,3.530273438,55.2,0.8,1,5,0
9,0.146333333,1.0,29.667209200000002,8.0,0.8888888890000001,1,9,0
4,4114.84125,1.0,67.54931641,59.75,1.0,3,2,0
21142,3.557528758,0.409374704,5.14883691,128.7110491,0.069719043,13,13571,1
116,3.6816465519999997,1.0,34.81610318,258.9741379,0.99137931,2,115,0
54,1.072407407,1.0,15.15661169,131.3333333,1.0,1,53,0
1,0.0,1.0,0.0,3.0,1.0,1,1,0
1,0.0,1.0,9.356445313,36.0,0.0,1,1,0
3,0.016666667,1.0,77.27148438,138.33333330000002,1.0,1,3,0
1,0.0,1.0,0.0,2.0,1.0,1,1,0
83,22.52937349,0.9879518070000001,11.44261813,40.20481928,0.9879518070000001,3,39,0
9,0.091111111,1.0,29.667209200000002,40.55555556,0.8888888890000001,1,9,0
1,0.0,1.0,137.60058590000003,138.0,1.0,1,1,0
51,2.672117647,1.0,47.7958027,29.52941176,0.980392157,3,48,0
9,0.257333333,1.0,29.667209200000002,114.0,0.8888888890000001,1,9,0
65,0.116907692,1.0,23.89424579,67.26153846,1.0,1,65,0
54,5.533518518999999,1.0,43.98641855,786.4814815000001,1.0,3,45,0
259,285.331444,1.0,120.15149540000002,1603.2471039999998,0.965250965,3,119,0
3041,27.24878721,0.6394039970000001,15674.780690000001,5978.848383,0.726336578,6,282,1
8,0.132,1.0,33.02868652,39.25,1.0,1,8,0
496035,0.014222617,1.0,47.13642852,51.27846422,0.997038515,26,843,0
100,434.11782999999997,1.0,16.91355469,14.39,1.0,3,52,0
81,20.263728399999998,1.0,460.43471500000004,2058.469136,0.8888888890000001,5,68,0
75,1.8320400000000001,1.0,13.94148438,13.12,1.0,2,67,0
1,0.0,1.0,137.60058590000003,206.0,1.0,1,1,0
51,92.47101961,1.0,17.47392004,131.6470588,0.980392157,2,42,0
7379,10.20413403,0.7052449690000001,3.498251701,79.63773501,0.116870665,13,7060,1
3,11836.26967,1.0,4.975585938,11.0,1.0,2,2,0
9,0.9631111109999999,1.0,29.667209200000002,409.8888889,0.8888888890000001,1,9,0
49,525.903449,1.0,17.68205915,16.63265306,1.0,3,35,0
1,0.0,1.0,0.0,2.0,1.0,1,1,0
35,1907.670943,1.0,62.81383929,42.97142857,1.0,5,18,0
16,6.935,1.0,857.1156006000001,503.5625,0.9375,3,15,0
3,2.2086666669999997,1.0,142.17513019999998,2120.0,1.0,1,3,0
92,2.302608696,0.793478261,115.63020130000001,101.28260870000001,0.586956522,2,91,0
7,4.513142857,1.0,37.94517299,8401.142856999999,0.857142857,2,7,0
6,0.107666667,1.0,105.214681,63.66666667,0.833333333,1,6,0
5,0.0656,1.0,42.79453125,74.2,0.8,1,5,0
70,0.795842857,1.0,20.81229074,37.87142857,0.985714286,2,68,0
157,152.7287325,1.0,233.5379429,152.522293,0.9872611459999999,2,112,0
19,0.116736842,1.0,30.169305100000003,41.31578947,0.947368421,1,19,0
1,0.0,1.0,9.356445313,40.0,0.0,1,1,0
4,0.064,1.0,11.03100586,24.25,1.0,1,4,0
1,0.0,1.0,0.0,2.0,1.0,1,1,0
15,3044.6664,1.0,32.003190100000005,90.86666667,0.933333333,2,15,0
1,0.0,1.0,257.4404297,1768.0,1.0,1,1,0
1,0.0,0.5,80.2578125,507.0,0.0,1,1,0
93,3.671053763,1.0,653.8381111000001,999.655914,0.989247312,4,75,0
1,0.0,1.0,0.0,8.0,1.0,1,1,0
2,4368.4785,1.0,26.08300781,5.0,1.0,2,1,0
26,2325.212654,1.0,16.80141977,11.15384615,1.0,4,15,0
2904,26.776235999999997,0.284414209,50.18057291,230.3368906,0.115154213,3,2643,1
147,211.6790544,1.0,23.85859109,34.26530612,0.986394558,4,138,0
31,851.8019677000001,0.725806452,322.26827119999996,735.8709677,0.64516129,3,25,0
1,0.0,1.0,0.0,33.0,1.0,1,1,0
2,2474.632,1.0,0.0,4.0,1.0,2,1,0
33,461.2030606000001,1.0,12.21410393,30.09090909,0.96969697,2,31,0
1,0.0,1.0,14.92675781,33.0,1.0,1,1,0
34,0.069970588,1.0,13.23652918,95.26470588,1.0,1,34,0
5921,12.59726414,0.892175869,0.32400477699999997,55.80744886,0.061402455,8,2308,1
5,0.08,1.0,4.105859375,14.0,0.8,1,5,0
28,1.8356428569999999,1.0,23.512102399999996,53.03571429,0.9642857140000001,1,28,0
22,30.22854545,1.0,43.01939808,103.7272727,1.0,4,21,0
2,837.58,1.0,0.0,34.0,1.0,2,1,0
5,0.1584,1.0,12.61367188,26.0,0.8,1,5,0
1,0.0,1.0,0.0,2.0,1.0,1,1,0
1,0.0,1.0,9.356445313,23.0,0.0,1,1,0
1,0.0,1.0,0.0,2.0,1.0,1,1,0
91,177.7989011,1.0,56.87659899,2228.296703,1.0,3,53,0
15,2.777666667,1.0,107.2876953,59.86666667,1.0,2,15,0
10025,7.484938892000001,0.640612814,2.468433154,58.7956965,0.131175756,5,9461,1
1,0.0,1.0,0.0,3.0,1.0,1,1,0
1,0.0,1.0,0.0,8.0,1.0,1,1,0
10,1863.8839,1.0,26.70048828,31.6,0.9,2,10,0
62,225.9155645,1.0,18.068800399999997,68.41935484,0.951612903,4,31,0
6,9.025166667,1.0,45.0563151,15.5,1.0,2,6,0
1,0.0,1.0,21.46875,121.0,1.0,1,1,0
4673,6.938037077000001,0.177445943,129.6972121,302.7951206,0.372821616,3,90,1
2,5370.5065,1.0,0.0,4.0,1.0,1,1,0
14,1827.124357,1.0,4.443777902,11.14285714,0.9285714290000001,4,6,0
3,2.883333333,0.833333333,257.3460286,2675.666667,1.0,1,3,0
