age,height_cm,weight_kg,work_rate_att,overall
30,181,78,Medium,77
22,184,73,Medium,59
24,173,69,Medium,71
23,170,65,Medium,54
32,174,75,High,71
27,191,77,Medium,73
27,171,72,Medium,70
28,188,78,Medium,63
23,187,77,Medium,59
29,185,84,Low,65
29,186,80,Medium,70
28,175,76,High,70
22,172,67,Medium,60
19,187,73,Medium,58
25,175,69,High,76
23,188,90,Medium,82
21,178,73,High,65
24,181,75,Medium,60
31,189,84,Medium,71
28,193,92,Medium,66
22,185,78,Medium,67
29,173,70,High,89
26,188,85,High,65
20,190,82,Medium,66
25,181,72,Medium,69
34,174,75,Medium,69
19,175,75,Medium,61
26,176,60,Medium,70
20,182,75,Medium,62
24,173,65,Medium,62
30,170,70,High,65
22,189,79,Medium,61
22,164,61,High,63
22,188,83,Medium,67
29,175,75,Medium,71
20,170,64,Medium,64
24,188,70,Medium,64
32,174,72,Medium,66
34,193,83,Medium,73
22,177,75,Medium,55
27,186,73,High,63
29,185,82,High,72
21,181,75,Medium,65
20,186,76,Medium,50
17,174,68,Medium,55
37,178,64,High,70
25,175,72,Low,66
20,175,76,Medium,52
23,187,78,Medium,63
30,189,89,Medium,83
26,187,79,Medium,82
30,173,71,Medium,62
30,185,75,Medium,66
26,175,71,Medium,71
25,180,77,Medium,66
23,180,75,Medium,71
22,180,72,Medium,63
22,180,72,Medium,62
33,185,87,High,70
